609;modo ;Abajo ;Mädä niguira modo  ;Ya se fue el caballo para abajo ;subidos/audios/prueba.mp3;subidos/imagenes/609_letra_m.png;1;0;0;0;24/04/2020;0
610;Moto ;Hígado ;Ti moto ye nibi bren  ;Me duele el hígado  ;subidos/audios/prueba.mp3;subidos/imagenes/610_letra_m.png;1;0;0;0;25/04/2020;0
611;Mugue ;Estrella ;Mugue ye bä sübrüre  ;La estrella es de color amarillo  ;subidos/audios/prueba.mp3;subidos/imagenes/611_letra_m.png;1;0;0;0;26/04/2020;0
612;Murie ;Viento ;Murie tä  kri blü juengä  ;El viento dejar caer las flores  ;subidos/audios/prueba.mp3;subidos/imagenes/612_letra_m.png;1;0;0;0;27/04/2020;0
613;Mute ;Florecer ;Naran mute kidra  ;La naranja ya está floreciendo  ;subidos/audios/prueba.mp3;subidos/imagenes/613_letra_m.png;1;0;0;0;28/04/2020;0
614;Mungwä ;Mosca  ;Mungwä ye bren ngwen  ;la mosca porta la enfermedad  ;subidos/audios/prueba.mp3;subidos/imagenes/614_letra_m.png;1;0;0;0;29/04/2020;0
615;Mütü ;Cerdo  ;Mütü ye ngoto kräbägä  ;El cerdo tiene cuatros patas  ;subidos/audios/prueba.mp3;subidos/imagenes/615_letra_m.png;1;0;0;0;30/04/2020;0
616;mutu  ;Cogollo  ;Tä mutu ñaka kabre  ;El tiquizque no tiene cogollo   ;subidos/audios/prueba.mp3;subidos/imagenes/616_letra_m.png;1;0;0;0;01/05/2020;0
617;Muria ;Guatusa  ;Muria tä kämugwäte ;La guatusa  está en hueco  ;subidos/audios/prueba.mp3;subidos/imagenes/617_letra_m.png;1;0;0;0;02/05/2020;0
618;Mun ;Ustedes ;Mun riga jadengä  ;Vayan a jugar  ;subidos/audios/prueba.mp3;subidos/imagenes/618_letra_m.png;1;0;0;0;03/05/2020;0
619;Mü ;Gavilán ;Gwä  mü ki ta ;Ahorita paso una águila  ;subidos/audios/prueba.mp3;subidos/imagenes/619_letra_m.png;1;0;0;0;04/05/2020;0
620;mu  ;semilla ;Muma mu nibira toen  ;Ya se puede ver la semilla de frijol  ;subidos/audios/prueba.mp3;subidos/imagenes/620_letra_m.png;1;0;0;0;05/05/2020;0
621;Mugwä ;Hueco ;kri mugwä yete mugwä tä ;Ese hueco es un nido de pájaro  ;subidos/audios/prueba.mp3;subidos/imagenes/621_letra_m.png;1;0;0;0;06/05/2020;0
622;Mura ;Gripe ;Muria nibi ti bätä  ;Yo tengo gripe  ;subidos/audios/prueba.mp3;subidos/imagenes/622_letra_m.png;1;0;0;0;07/05/2020;0
623;Muma ;Frijol ;Muma ye bä tain  ;El frijol es de color rojo  ;subidos/audios/prueba.mp3;subidos/imagenes/623_letra_m.png;1;0;0;0;08/05/2020;0
624;Muta ;Nube ;Muta ye bä ngwen  ;La nube es de color blanco  ;subidos/audios/prueba.mp3;subidos/imagenes/624_letra_m.png;1;0;0;0;09/05/2020;0
625;Mundiare ;Cazar  ;Idoli nigui mundiare  ;idolo se fue a cazar  ;subidos/audios/prueba.mp3;subidos/imagenes/625_letra_m.png;1;0;0;0;10/05/2020;0
626;Münen ;Desgranar ;Ani i münen  ;Vamos a desgranar maíz  ;subidos/audios/prueba.mp3;subidos/imagenes/626_letra_m.png;1;0;0;0;11/05/2020;0
627;Münen  ;platanillo ;Münen ye kä ngwen  ;Traiga una hoja de platanillo  ;subidos/audios/prueba.mp3;subidos/imagenes/627_letra_m.png;1;0;0;0;12/05/2020;0
628;Mününe ;En polvo ;Kian mününe ye sribere  ;Haga la leche en polvo  ;subidos/audios/prueba.mp3;subidos/imagenes/628_letra_m.png;1;0;0;0;13/05/2020;0
629;Muä ;Piña ;Muä ye kwete  ;Cómase la piña  ;subidos/audios/prueba.mp3;subidos/imagenes/629_letra_m.png;1;0;0;0;14/05/2020;0
